"Story","Title","Result","Date","Stability","Duration (s)"
"Generation","Get generation fail","SUCCESS","2021-10-22T17:51:26.907-05:00[America/Bogota]","0.0","2.5"
"Generation","Get generation","SUCCESS","2021-10-23T00:16:18.999-05:00[America/Bogota]","0.0","6.15"
"Código de respuesta de solicitud GET","Validar el codigo del servicio ok","SUCCESS","2021-10-23T00:22:52.93-05:00[America/Bogota]","0.0","4.87"
"Código de respuesta de solicitud GET","Validar la respuesta de datos nombre y url","SUCCESS","2021-10-23T00:22:57.805-05:00[America/Bogota]","0.0","1.85"
